Card#,Title,Artist,URL,Hashed Info,Youtube-Title,Year
27 ,Whatever It Takes,Imagine Dragons,https://www.youtube.com/watch?v=M66U_DuMCS8,4b1c4ca45476f30653ba1910b8657b077b9d63b61faed76cd35122b0eda22bb1,Imagine Dragons - Whatever It Takes (Lyrics / Lyric Video),2017 
28 ,Take on Me,a-ha,https://www.youtube.com/watch?v=djV11Xbc914,603e92df34d63bb3f7bddb4530c94b7fc1202af97ca1380c8430efb46a9f5116,a-ha - Take On Me (Official Video) [Remastered in 4K],1985 
29 ,I Believe,Joana Zimmer,https://www.youtube.com/watch?v=5UUGt2p_hwY,bd2cda7b716db927bac4f1ca2bc17bd795106cf65d94b4b42f54b3a8a3f4d37f,Joana Zimmer - I Believe,2005 
30 ,Hadschi Halef Omar,Dschinghis Khan,https://www.youtube.com/watch?v=0IabQdPqb1c,de3598df2fe06059c32ea32598667db3a81f7dec422a2b1b1f8a132555269f1f,Dschinghis Khan - Hadschi Halef Omar,1993 
31 ,My Life Would Suck Without You,Kelly Clarkson,https://www.youtube.com/watch?v=cRM70Jw7F4M,52e5cdab1e3893ff62bb72ce3daaeb65bfddc6a2ee6ce5f227711a20e73fae60,Kelly Clarkson - My Life Would Suck Without You,2009 
32 ,I Can See Clearly Now,Johnny Nash,https://www.youtube.com/watch?v=b0cAWgTPiwM,c40291dce7f4f8c395ab41c32dfbe1f2c620990e4adc130611415ea46c20208a,Johnny Nash - I Can See Clearly Now (Official Audio),1972 
33 ,Words,F.R. David,https://www.youtube.com/watch?v=nwrqQ2jYpwY,ed6d2c79464cc461558c121b8bdae2aea366bd480859648638aba9aa9eaa89dc,Words (Original Version 1983),1983 
34 ,You're The Greatest Lover,Luv,https://www.youtube.com/watch?v=WQKR4YTKIis,f07369a8adb19cac86aaa7c4402ca1100781127fe0812e9143e2df295339f52a,Luv' - You're The Greatest Lover,1998 
35 ,I Only Wanna Be with You,Bay City Rollers,https://www.youtube.com/watch?v=wTADOT31rnQ,f7905f8ba191e620f7b67fb71e358525bb441265c5f549c94396cd3214e61ec2,I Only Wanna Be with You,1976 
36 ,Uptown Girl,Billy Joel,https://www.youtube.com/watch?v=o-0Oect0nVQ,6f7b67ecf25a3d2c5bdbad5b409e65e46e14f1d3fffd45ca329777ee198241c8,Billy Joel - Uptown Girl (Audio),2001 
